sample_id,ai_prediction,true_label
T001,Suicidal,Suicidal
T002,Suicidal,Depressed
T003,Suicidal,Depressed
T004,Suicidal,Suicidal
T005,Suicidal,Depressed
T006,Suicidal,Depressed
T007,Suicidal,Suicidal
T008,Suicidal,Suicidal
T009,Suicidal,Depressed
T010,Suicidal,Depressed
T011,Suicidal,Suicidal
T012,Suicidal,Suicidal
T013,Suicidal,Suicidal
T014,Suicidal,Depressed
T015,Suicidal,Suicidal
T016,Suicidal,Suicidal
T017,Suicidal,Depressed
T018,Suicidal,Depressed
T019,Suicidal,Depressed
T020,Suicidal,Suicidal
T021,Suicidal,Suicidal
T022,Suicidal,Suicidal
T023,Suicidal,Suicidal
T024,Suicidal,Depressed
T025,Suicidal,Depressed
T026,Suicidal,Depressed
T027,Suicidal,Depressed
T028,Suicidal,Depressed
T029,Suicidal,Depressed
T030,Suicidal,Depressed
T031,Suicidal,Depressed
T032,Suicidal,Depressed
T033,Suicidal,Depressed
T034,Suicidal,Depressed
T035,Suicidal,Depressed
T036,Suicidal,Depressed
T037,Suicidal,Depressed
T038,Suicidal,Depressed
T039,Suicidal,Depressed
T040,Suicidal,Depressed
T041,Suicidal,Depressed
T042,Suicidal,Depressed
T043,Suicidal,Depressed
T044,Suicidal,Depressed
T045,Suicidal,Depressed
T046,Suicidal,Depressed
T047,Suicidal,Depressed
T048,Suicidal,Depressed
T049,Suicidal,Depressed
T050,Suicidal,Depressed
