sample_id,ai_prediction,true_label
T001,Suicidal,Suicidal
T002,Suicidal,Depressed
T003,Depressed,Depressed
T004,Suicidal,Suicidal
T005,Depressed,Depressed
T006,Suicidal,Depressed
T007,Suicidal,Suicidal
T008,Suicidal,Suicidal
T009,Depressed,Depressed
T010,Depressed,Depressed
T011,Suicidal,Suicidal
T012,Suicidal,Suicidal
T013,Suicidal,Suicidal
T014,Depressed,Depressed
T015,Suicidal,Suicidal
T016,Suicidal,Suicidal
T017,Depressed,Depressed
T018,Depressed,Depressed
T019,Depressed,Depressed
T020,Suicidal,Suicidal
T021,Suicidal,Suicidal
T022,Suicidal,Suicidal
T023,Suicidal,Suicidal
T024,Depressed,Depressed
T025,Suicidal,Depressed
T026,Depressed,Suicidal
T027,Suicidal,Suicidal
T028,Depressed,Suicidal
T029,Suicidal,Depressed
T030,Depressed,Depressed
T031,Suicidal,Depressed
T032,Depressed,Depressed
T033,Suicidal,Depressed
T034,Depressed,Depressed
T035,Suicidal,Suicidal
T036,Depressed,Depressed
T037,Depressed,Suicidal
T038,Suicidal,Suicidal
T039,Depressed,Suicidal
T040,Suicidal,Depressed
T041,Suicidal,Suicidal
T042,Suicidal,Depressed
T043,Suicidal,Depressed
T044,Suicidal,Suicidal
T045,Suicidal,Depressed
T046,Depressed,Suicidal
T047,Depressed,Depressed
T048,Suicidal,Suicidal
T049,Depressed,Depressed
T050,Suicidal,Suicidal
